,source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,bp_rp,phot_g_mean_mag,mg
1246,63327682168301952,56.87979097589244,21.180720744686603,8.054332440344819,20.42440042800526,-48.16400576315082,,3.094884,16.89858,11.428728306277629
1247,63237655357422336,57.54054196512295,20.69825666362356,7.267432607066011,18.63241541896038,-42.71417316966841,,3.4945984,19.165525,13.472430502036428
1248,63081799584947712,56.19716317521311,19.92808911867035,7.325654158991671,21.514288745025777,-40.90068618684956,,3.0922089,18.083755,12.407987552940163
1249,63058022645854720,56.287152284484925,19.72486599738379,8.366191507414442,20.328233380259583,-46.20212229643951,,3.6739445,18.961023,13.573662338857154
1250,63296380446670080,56.623958595222064,21.03784962969324,8.01714515710539,22.694372603828032,-50.30444011699162,,3.237194,16.717102,11.237200785444736
1251,63391174669006080,55.62382400948504,20.81090151204158,7.524988859839331,19.752891556217136,-47.05625504939374,,3.02497,16.43593,10.818459558710988
1252,63289920815872256,56.58067961686683,20.879594820601184,7.284576850934338,20.39384939304169,-44.11663778284901,8.38931597614623,1.0569286,11.309966,5.6219877342806726
1253,63052048347383168,56.25701992764751,19.559181488384247,7.248281769005624,20.756510909254324,-43.2211183482763,11.648219751708064,0.68634415,9.295419,3.5965940779121954
1254,67724697887107200,54.16007694412378,23.145483750824077,7.355629760036259,20.28773303897168,-45.44364431053472,,3.170288,17.559355,11.892454088292588
1255,67920926352940032,52.4948659800501,23.37163658083398,7.073188323341786,21.088200728674128,-44.11377454084648,,2.903616,15.764339,10.012415553565024
1256,67656665605333888,52.95779022006076,22.839997704516637,8.156125473946151,23.90419413350548,-49.832685578864464,,2.9080572,16.665895,11.223314953784936
1257,67799189799869312,53.7445331265411,23.52996094247161,7.221508009179073,20.764096341457083,-43.23921148309596,,0.50388813,8.777798,3.0709371852158363
1258,67878663874731136,53.032861447330326,23.232432131267704,6.91681070178885,19.847110502815365,-42.80039592631492,,2.863678,16.1345,10.334029954223816
